wrist_speed,elbow_angle,wrist_height,fps,video_name
17385.5,176.64975842806248,66.47891,30.0,FT100-GT.mp4
14963.007,166.43938998636577,78.12648,30.0,FT102-GT.mp4
17589.197,169.9119579229322,26.285095,30.0,FT131-GT.mp4
14280.743,70.39850411637387,24.868622,30.0,FT134-GT.mp4
15949.246,176.28779605143833,71.57561,30.0,FT136-GT.mp4
26939.562,167.4332989444833,153.7453,30.0,FT14-GT.mp4
13962.361,177.38235233108793,0.6627655,30.0,FT146-GT.mp4
26179.861,107.14061292108096,89.77701,30.0,FT15-GT.mp4
15454.721,88.36130000996451,69.807236,30.0,FT150-GT.mp4
14070.584,161.64256980434806,67.23384,30.0,FT156-GT.mp4
12811.3955,138.55426149498456,45.50731,30.0,FT159-GT.mp4
23952.127,153.49971736667382,55.750168,30.0,FT161-GT.mp4
22882.268,98.36416979676324,32.69043,30.0,FT162-GT.mp4
17640.717,92.92470668842118,53.665558,30.0,FT165-GT.mp4
19900.031,37.87546141026487,98.3266,30.0,FT167-GT.mp4
22999.012,115.64409507586312,38.05194,30.0,FT168-GT.mp4
18834.064,109.92506306478208,51.13748,30.0,FT169-GT.mp4
16315.305,152.5218007111827,60.514908,30.0,FT172-GT.mp4
15219.212,158.5877202677029,42.85266,30.0,FT173-GT.mp4
16006.662,172.58834427648753,21.392776,30.0,FT174-GT.mp4
20803.64,127.660139423679,36.597412,30.0,FT175-GT.mp4
12195.732,173.956045599146,50.389145,30.0,FT177-GT.mp4
19837.215,137.5025054064994,32.04364,30.0,FT178-GT.mp4
23028.066,140.23639752023743,152.069,30.0,FT18-GT.mp4
36084.17,147.80526799109498,123.70996,30.0,FT2-GT.mp4
16986.668,171.6826998846764,33.488556,30.0,FT20-GT.mp4
21683.873,175.52961353294327,28.72992,30.0,FT21-GT.mp4
17897.09,157.02290994366615,294.3704,30.0,FT23-GT.mp4
22444.672,142.99579573273715,273.06342,30.0,FT23-GT_0.mp4
13880.05,162.5227580563335,233.52805,30.0,FT23-GT_1.mp4
19899.35,131.48581170347273,283.87128,30.0,FT23-GT_2.mp4
16179.038,159.28438245023017,291.64688,30.0,FT23-GT_3.mp4
19948.943,159.01653257964975,323.7822,30.0,FT23-GT_4.mp4
13621.385,164.2241423016019,253.74936,30.0,FT23-GT_5.mp4
20838.895,138.30043497945243,272.15674,30.0,FT23-GT_6.mp4
15261.827,158.02087521900265,280.00677,30.0,FT23-GT_7.mp4
25131.969,150.89184130167547,318.11426,30.0,FT23-GT_8.mp4
17522.049,168.9648862226477,285.80084,30.0,FT23-GT_9.mp4
30454.906,140.29655977443716,19.606049,30.0,FT24-GT.mp4
29389.232,174.71258614299452,48.0222,30.0,FT24-GT_0.mp4
30749.648,164.56754148102775,20.631348,30.0,FT24-GT_1.mp4
29116.486,159.96405970082134,32.64142,30.0,FT24-GT_2.mp4
30003.902,18.349643577558343,23.25885,30.0,FT24-GT_3.mp4
22055.924,93.95139001079386,6.8980103,30.0,FT24-GT_4.mp4
31187.553,103.23169117240616,484.17453,30.0,FT24-GT_5.mp4
18787.832,169.09099752296035,28.88028,30.0,FT24-GT_6.mp4
31440.16,162.90184932495887,21.552216,30.0,FT24-GT_7.mp4
21936.43,173.58061325955504,124.572586,30.0,FT24-GT_8.mp4
28319.148,143.8330625852236,18.093384,30.0,FT24-GT_9.mp4
21201.326,135.60689904342078,21.857483,30.0,FT25-GT.mp4
